id,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product,category,ecommerce_name
613483b08c685a89e2a487fd,"Sepatu Vans Slip On X-Ray Bones Leather Black Original 100% BNIB!","Toko Adidas Original","Tangerang Selatan",999000,0,4,5,3,https://www.tokopedia.com/tokoadidasori/sepatu-vans-slip-on-x-ray-bones-leather-black-original-100-bnib?whid=0,Slip-on,tokopedia
613483b08c685a89e2a487fe,"Vans Sepatu Sneakers Pria Wanita Motif Koran Premium - 38","Ezelis Store","Kabupaten Tangerang",65000,0,24,5,14,https://www.tokopedia.com/ezelisstore/vans-sepatu-sneakers-pria-wanita-motif-koran-premium-38?whid=0,,tokopedia
613483b08c685a89e2a487ff,"sepatu vans authentic sepatu vans premium - Hitam, 38","lexsnoe shoes","Kabupaten Tangerang",139000,0,92,5,42,https://www.tokopedia.com/lexsnoe/sepatu-vans-authentic-sepatu-vans-premium-hitam-38?whid=0,Authentic,tokopedia
613483b08c685a89e2a48801,"Sepatu Vans | Vans Style 36 Decon SF Woven Checkerboard Multicolor |","Two Ways True","Tangerang Selatan",850000,0,3,4,3,https://www.tokopedia.com/twowaystrue/sepatu-vans-vans-style-36-decon-sf-woven-checkerboard-multicolor?whid=0,Checkerboard,tokopedia
613483b08c685a89e2a48803,"SEPATU VANS ERA AUTHENTIC SEPATU KETS SEKOLAH KULIAH KERJA - Biru, 36","NAF SHOES","Kabupaten Tangerang",55000,0,508,5,257,https://www.tokopedia.com/nafshoes888/sepatu-vans-era-authentic-sepatu-kets-sekolah-kuliah-kerja-biru-36?whid=0,Era,tokopedia
613483b08c685a89e2a48805,"Sepatu Vans X Spongebob Era Best Friend | BNIB Original Resmi - 35","Will Goods",Bekasi,1999000,0,7,5,5,https://www.tokopedia.com/willgoodsid/sepatu-vans-x-spongebob-era-best-friend-bnib-original-resmi-35?whid=0,Era,tokopedia
613483b08c685a89e2a48806,"Sepatu Vans OG Slip On 47 DX Anaheim Factory Murah","Joss & Co.","Jakarta Selatan",1599900,0,8,5,7,https://www.tokopedia.com/jossandco/sepatu-vans-og-slip-on-47-dx-anaheim-factory-murah?whid=0,Slip-on,tokopedia
613483b08c685a89e2a48808,"SEPATU VANS ORIGINAL | VANS ERA OUROBOROS ORIGINAL RESMI - 36",wellstuff_original,"Tangerang Selatan",760000,0,2,5,2,https://www.tokopedia.com/wellstufforg/sepatu-vans-original-vans-era-ouroboros-original-resmi-36?whid=0,Era,tokopedia
613483b08c685a89e2a48809,"SEPATU VANS OLD SKOOL VINTAGE GRAND CASUAL TRENDY HIGH QUALITY PREMIUM - IJONAVYREDYELOW, 39",brosneakers,Bandung,175000,0,101,5,55,https://www.tokopedia.com/brosneakers/sepatu-vans-old-skool-vintage-grand-casual-trendy-high-quality-premium-ijonavyredyelow-39?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4880c,"Sepatu Vans Sk8 Hi Black White HIgh DT Premium","Fresh Banana","Jakarta Selatan",269000,0,317,4,152,https://www.tokopedia.com/freshbanana/sepatu-vans-sk8-hi-black-white-high-dt-premium?whid=0,SK8-Hi,tokopedia
613483b08c685a89e2a4880f,"Sepatu Vans Slip On Slipon Classic DT Full All Black Hitam Premium","Fresh Banana","Jakarta Selatan",259000,0,66,4,34,https://www.tokopedia.com/freshbanana/sepatu-vans-slip-on-slipon-classic-dt-full-all-black-hitam-premium?whid=0,Slip-on,tokopedia
613483b08c685a89e2a48812,"Vans Sk8 zipper sepatu vans sk8 hi zip sneakers pria","Keen sneakers","Jakarta Selatan",345000,0,2,4,2,https://www.tokopedia.com/keensneakers/vans-sk8-zipper-sepatu-vans-sk8-hi-zip-sneakers-pria?whid=0,SK8-Hi,tokopedia
613483b08c685a89e2a48817,"SEPATU UKURAN JUMBO VANS OLD SKOOL 44 45 46",findingshoesjakarta,Bekasi,135000,0,8,5,5,https://www.tokopedia.com/findsh/sepatu-ukuran-jumbo-vans-old-skool-44-45-46?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48819,"VANS OFF THE WALL | OLD SKOOL NAVY | SEPATU - 40.5","FRIDAY KILLER CO","Kabupaten Pamekasan",719200,20,6,5,4,https://www.tokopedia.com/fridaykillerco/vans-off-the-wall-old-skool-navy-sepatu-40-5?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4881a,"Sepatu Vans Authentic Gum Black/ Hitam Gum - Abu, 43",ayemshop,"Jakarta Barat",130000,0,80,4,37,https://www.tokopedia.com/ayemshop/sepatu-vans-authentic-gum-black-hitam-gum-abu-43?whid=0,Authentic,tokopedia
613483b08c685a89e2a4881b,"SEPATU VANS OLD SKOOL OG OFF THE WALL VELCRO PEREKAT HITAM PUTIH - hitam putih, 36",4SDOnlineshop,"Jakarta Selatan",120000,0,24,4,19,https://www.tokopedia.com/4sdonlineshop/sepatu-vans-old-skool-og-off-the-wall-velcro-perekat-hitam-putih-hitam-putih-36?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a4881d,"Sepatu Vans Old school Velcro doebel poksing Waffel DT - 39",dsd_store08,Depok,125000,0,13,5,8,https://www.tokopedia.com/dsdstore08/sepatu-vans-old-school-velcro-doebel-poksing-waffel-dt-39?whid=0,,tokopedia
613483b08c685a89e2a4881e,"Sepatu Vans Slip On X Ray Bones Leather Black ORIGINAL 100% BNIB!","Loker Sepatu Original","Jakarta Selatan",929000,0,0,0,0,https://www.tokopedia.com/lokersepatuori/sepatu-vans-slip-on-x-ray-bones-leather-black-original-100-bnib?whid=0,Slip-on,tokopedia
613483b08c685a89e2a48821,"Sepatu Casual Vans slip on premium riel picture - Hitam, 36",fitrisneakers,"Kabupaten Tangerang",100000,0,48,5,31,https://www.tokopedia.com/fitrisneakers/sepatu-casual-vans-slip-on-premium-riel-picture-hitam-36?whid=0,Slip-on,tokopedia
613483b08c685a89e2a48823,"Sepatu Vans Oldskool X Nintendo Console Controller Grey - 36.5","NEW ANGGOANS",Bandung,378000,0,29,5,11,https://www.tokopedia.com/new-anggoans/sepatu-vans-oldskool-x-nintendo-console-controller-grey-36-5?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48824,"sepatu Vans Oldskool BW","Dani Shoes",Surabaya,75000,0,38,5,24,https://www.tokopedia.com/danishoes/sepatu-vans-oldskool-bw?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48825,"Sepatu Vans Replika Hitam Polos | Sepatu Sekolah Hitam - Hitam","The Master Collections",Tangerang,56000,0,189,5,71,https://www.tokopedia.com/themastershop/sepatu-vans-replika-hitam-polos-sepatu-sekolah-hitam-hitam?whid=0,,tokopedia
613483b08c685a89e2a48826,"SEPATU VANS OLD SKOOL VAULT OG RAINBOW - 36",bayualkahfi23,Bekasi,123000,0,12,5,10,https://www.tokopedia.com/bayualkahfi/sepatu-vans-old-skool-vault-og-rainbow-36?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48827,"Sepatu Original Vans Old Skool Retro Block Pepsi Cola BNIB","Mye Shoes","Jakarta Selatan",500000,0,1,5,1,https://www.tokopedia.com/myeshoes/sepatu-original-vans-old-skool-retro-block-pepsi-cola-bnib?whid=0,"Old Skool",tokopedia
613483b08c685a89e2a48828,"Sepatu Vans Authentic California Classics - Merah",caki,"Kabupaten Tangerang",50000,0,68,5,25,https://www.tokopedia.com/trashbag/sepatu-vans-authentic-california-classics-merah?whid=0,Era,tokopedia
613483b08c685a89e2a4882e,"Sepatu Pria Big Size 44-46 & 39-43 slip on Vans OG black - Full Black, 39",Kitakitashoes,Bekasi,150000,0,8,5,6,https://www.tokopedia.com/kitakitashoes-1/sepatu-pria-big-size-44-46-39-43-slip-on-vans-og-black-full-black-39?whid=0,Slip-on,tokopedia
