Unnamed: 0,product_name,shop_name,location,price,discount,amount_sold,rating,no_of_rating,link_product
132,(BISA COD) Sepatu  Vans OldSkool Premium - Sepatu Import - Sepatu Sekolah  - Sepatu Casual,ridwan101092,"KAB. BEKASI - TAMBUN SELATAN, JAWA BARAT, ID",Rp132.000,5% off,98,4.6,61,/(BISA-COD)-Sepatu-Vans-OldSkool-Premium-Sepatu-Import-Sepatu-Sekolah-Sepatu-Casual-i.107251241.3529457675?position=482
133,Vans Old Skool Pro Black / Gum ( ULTRACUSH ),primt.store,"KAB. CIANJUR - KARANGTENGAH, JAWA BARAT, ID",Rp750.000,25% off,105,4.9,87,/Vans-Old-Skool-Pro-Black-Gum-(-ULTRACUSH-)-i.139782988.4026731590?position=483
134,DISC 50% SEPATU VANS x GOLF WANG BLACK GUM HITAM COKLAT OLDSKOOL ERA SK8 China,radjasneakers,"KOTA BANDUNG - RANCASARI, JAWA BARAT, ID",Rp207.000,,124,4.5,74,/DISC-50-SEPATU-VANS-x-GOLF-WANG-BLACK-GUM-HITAM-COKLAT-OLDSKOOL-ERA-SK8-China-i.104946154.2678136927?position=484
135,VANS OLD SKOOL OG BLACK WHITE UNISEX 100% PREMIUM BNIB/GRADE ORIGINAL MADE IN CHINA SEPATU PRIA,dismshoes.id,"KAB. BANDUNG - PASEH, JAWA BARAT, ID",Rp302.400,16% off,"1,3RB",4.9,10,/VANS-OLD-SKOOL-OG-BLACK-WHITE-UNISEX-100-PREMIUM-BNIB-GRADE-ORIGINAL-MADE-IN-CHINA-SEPATU-PRIA-i.71830912.6262677937?position=485
136,VANS OLDSKOOL sepatu sekolah sepatu sneakers oldskool hitam putih,sepatu.casual,"KOTA BANDUNG - RANCASARI, JAWA BARAT, ID",Rp52.250,5% off,"2,1RB",4.3,"1,1RB",/VANS-OLDSKOOL-sepatu-sekolah-sepatu-sneakers-oldskool-hitam-putih-i.15472399.1948740549?position=486
137,Sepatu Vans Old Skool Fetino Terbaru Authentic,aldi9775,"KAB. TASIKMALAYA - CIPATUJAH, JAWA BARAT, ID",Rp75.000,25% off,61,4.9,28,/Sepatu-Vans-Old-Skool-Fetino-Terbaru-Authentic-i.224925743.7622968350?position=487
138,VANS ORIGINAL AUTHENTIC COMFYCUSH BLACK/WHITE,frigo.id,"KOTA JAKARTA SELATAN - PASAR MINGGU, DKI JAKARTA, ID",Rp675.500,29% off,20,4.9,11,/VANS-ORIGINAL-AUTHENTIC-COMFYCUSH-BLACK-WHITE-i.216875785.5568312633?position=488
140,"Vans Oldskool OG Japan Market Black/White , Flash Sale , Kualitas Terbaik",idworldshop,"KOTA BANDUNG - ANDIR, JAWA BARAT, ID",Rp150.000,,71,4.7,48,/Vans-Oldskool-OG-Japan-Market-Black-White-Flash-Sale-Kualitas-Terbaik-i.775209.7354115062?position=490
141,BIGPROMO!!!Sepatu VANS Pria Murah Santai Gaya Wafle DT IFC MOTIF SK HIGH TERBARU WAFFLE DT ICC IFF,queen_wedges309,"KOTA TANGERANG - BATUCEPER, BANTEN, ID",Rp70.000,44% off,44,4.7,23,/BIGPROMO!!!Sepatu-VANS-Pria-Murah-Santai-Gaya-Wafle-DT-IFC-MOTIF-SK-HIGH-TERBARU-WAFFLE-DT-ICC-IFF-i.9214894.7617906893?position=491
142,VANS OLD SKOOL DX ANAHEIM BLACK WHITE,littlefootyk,"KAB. SLEMAN - NGAGLIK, DI YOGYAKARTA, ID",Rp897.000,31% off,97,4.9,50,/VANS-OLD-SKOOL-DX-ANAHEIM-BLACK-WHITE-i.137844399.7923908653?position=492
